Designator,Mid X,Mid Y,Rotation,Layer
RGB51,328.612224,-157.460024,0.0,bottom
RGB52,328.612224,-176.510008,0.0,bottom
RGB53,347.662208,-119.360056,0.0,bottom
RGB54,347.662208,-138.41004,0.0,bottom
RGB55,347.662208,-157.460024,0.0,bottom
RGB56,347.662208,-176.510008,0.0,bottom
RGB57,366.712192,-176.510008,0.0,bottom
RGB58,366.712192,-157.460024,0.0,bottom
RGB59,366.712192,-138.41004,0.0,bottom
RGB6,66.674944,-157.460024,0.0,bottom
RGB60,366.712192,-119.360056,0.0,bottom
RGB61,385.762176,-119.360056,0.0,bottom
RGB62,385.762176,-138.41004,0.0,bottom
RGB63,385.762176,-157.460024,0.0,bottom
RGB64,385.762176,-176.510008,0.0,bottom
RGB7,57.103856,-138.41004,0.0,bottom
RGB8,52.387456,-119.360056,0.0,bottom
RGB9,71.43744,-119.360056,0.0,bottom
SW1,28.575,-114.3,0.0,bottom
SW10,76.2,-133.35,0.0,bottom
SW11,85.725,-152.4,0.0,bottom
SW12,73.81875,-171.45,0.0,bottom
SW13,90.4875,-114.3,0.0,bottom
SW14,95.25,-133.35,0.0,bottom
SW15,104.775,-152.4,0.0,bottom
SW16,109.5375,-114.3,0.0,bottom
SW17,114.3,-133.35,0.0,bottom
SW18,123.825,-152.4,0.0,bottom
SW19,114.3,-171.45,0.0,bottom
SW2,30.95625,-133.35,0.0,bottom
SW20,128.5875,-114.3,0.0,bottom
SW21,133.35,-133.35,0.0,bottom
SW22,142.875,-152.4,0.0,bottom
SW23,147.6375,-114.3,0.0,bottom
SW24,152.4,-133.35,0.0,bottom
SW25,161.925,-152.4,0.0,bottom
SW26,171.45,-171.45,0.0,bottom
SW27,166.6875,-114.3,0.0,bottom
SW28,171.45,-133.35,0.0,bottom
SW29,180.975,-152.4,0.0,bottom
SW3,35.71875,-152.4,0.0,bottom
SW30,185.7375,-114.3,0.0,bottom
SW31,190.5,-133.35,0.0,bottom
SW32,200.025,-152.4,0.0,bottom
